skills,categories_count
Agile,6
CSS,6
Communication,6
Excel,6
Git,6
HTML,6
Testing,6
UAT,6
User Experience,6
Artificial Intelligence,5
Azure,5
Database,5
DevOps,5
Java,5
JavaScript,5
Project Management,5
SQL,5
Scrum,5
Training,5
UI/UX,5
User Interface,5
AWS,4
Big Data,4
Business Analyst,4
C,4
Data Science,4
Docker,4
Figma,4
HR,4
JIRA,4
Linux,4
MySQL,4
Onboarding,4
Problem Solving,4
Process Improvement,4
Python,4
User Stories,4
C#,3
C++,3
CI/CD,3
Data Analysis,3
Data Engineering,3
ETL,3
GCP,3
GitHub,3
Hadoop,3
Human Resources,3
Kafka,3
Kubernetes,3
Machine Learning,3
Microsoft Office,3
MongoDB,3
PHP,3
PostgreSQL,3
Prototyping,3
Quality Assurance,3
R,3
Recruitment,3
Redis,3
Spark,3
Statistics,3
Acceptance Criteria,2
Business Analysis,2
Business Intelligence,2
Cloud Computing,2
Computer Vision,2
Data Visualization,2
Deep Learning,2
NLP,2
Process Mapping,2
Requirements Gathering,2
Ruby,2
SQL Server,2
Stakeholder Management,2
Tableau,2
TensorFlow,2
Terraform,2
TypeScript,2
UI Design,2
UX Design,2
Adobe XD,1
Data Mining,1
Employee Relations,1
Neural Networks,1
NumPy,1
Oracle,1
Pandas,1
Payroll,1
Performance Management,1
Power BI,1
PyTorch,1
Requirements Analysis,1
Requirements Management,1
Scikit-learn,1
Stakeholder Engagement,1
Talent Acquisition,1
Usability Testing,1
